"location_id","location_title","location_address","location_draggable","location_infowindow_default_open","location_animation","location_latitude","location_longitude","location_city","location_state","location_country","location_postal_code","location_zoom","location_messages","location_settings","location_group_map","location_extrafields"
"15","Siquijor","Siquijor, Central Visayas, Philippines",,,"BOUNCE","9.199877899999999","123.59519249999994",,"Central Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:58:""https://jboy.cagumbay.com/siquijor-the-second-time-around/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"16","Cagayan De Oro Whitewater River Rafting","Cagayan De Oro Whitewater River Rafting, Cagayan de Oro, Philippines",,,"BOUNCE","8.467342","124.64775600000007","Cagayan de Oro",,"Philippines","9000","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:53:""https://jboy.cagumbay.com/braving-whitewater-rafting/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"17","Dahilayan Adventure Park","Dahilayan Adventure Park, Manolo Fortich, Northern Mindanao, Philippines",,,"BOUNCE","8.205889","124.85748999999998","Manolo Fortich","Northern Mindanao","Philippines","8703","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:51:""https://jboy.cagumbay.com/dahilayan-adventure-park/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"18","Davao City","Davao City, Davao Region, Philippines",,,"BOUNCE","7.190708","125.45534099999998","Davao City","Davao Region","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:58:""https://jboy.cagumbay.com/gone-for-the-weekend-davao-city/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"19","General Santos City","General Santos City, SOCCSKSARGEN, Philippines",,,"BOUNCE","6.1163861","125.17161799999997","General Santos","Region XII","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:60:""https://jboy.cagumbay.com/weekend-getaway-southern-mindanao/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"20","Lake Sebu's 7 Falls","Lake Sebu's 7 Falls, To 2nd Falls, Lake Sebu, SOCCSKSARGEN, Philippines",,,"BOUNCE","6.246609","124.728609","Lake Sebu","Region XII","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:60:""https://jboy.cagumbay.com/weekend-getaway-southern-mindanao/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"21","Dipolog City","Dipolog City, Zamboanga Peninsula, Philippines",,,"BOUNCE","8.5142736","123.33739160000005","Dipolog City","Zamboanga Peninsula","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:37:""https://jboy.cagumbay.com/dragonboat/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"22","Dakak Park and Beach Resort","Dakak Park and Beach Resort, Dapitan City, Philippines",,,"BOUNCE","8.695334","123.39337899999998","Dapitan City",,"Philippines","7101","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:54:""https://jboy.cagumbay.com/dakak-park-and-beach-resort/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"23","Cebu City","Cebu City, Central Visayas, Philippines",,,"BOUNCE","10.3156992","123.88543660000005","Cebu City","Central Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:48:""https://jboy.cagumbay.com/iris-jane-and-west-35/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"24","Bantayan Island","Bantayan Island, Cebu, Central Visayas, Philippines",,,"BOUNCE","11.1843073","123.74624570000003",,,"Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:59:""https://jboy.cagumbay.com/the-cool-kids-of-bantayan-island/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"25","Santiago Bay Beach","Camotes Islands",,,"BOUNCE","10.590403478347428","124.3081924438477","San Francisco","Central Visayas","Philippines","94116","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:52:""https://jboy.cagumbay.com/weekend-at-camotes-island/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"26","Kalanggaman Island","Kalanggaman Island",,,"BOUNCE","11.1143992","124.2494537",,,"Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:56:""https://jboy.cagumbay.com/weekend-at-kalanggaman-island/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"27","Balicasag Island","Balicasag Island",,,"BOUNCE","9.5161073","123.68330079999998",,,"Philippines",,"0",,"a:3:{s:7:""onclick"";s:6:""marker"";s:13:""redirect_link"";s:0:"""";s:20:""redirect_link_window"";s:3:""yes"";}","N;","N;"
"28","Panglao Island","Panglao Island, Bohol, Central Visayas, Philippines",,,"BOUNCE","9.5986918","123.79855440000006",,,"Philippines",,"0",,"a:3:{s:7:""onclick"";s:6:""marker"";s:13:""redirect_link"";s:0:"""";s:20:""redirect_link_window"";s:3:""yes"";}","N;","N;"
"29","Gibitngil Island","Gibitngil Island",,,"BOUNCE","11.1841113","123.92203360000008",,,"Philippines",,"0",,"a:3:{s:7:""onclick"";s:6:""marker"";s:13:""redirect_link"";s:0:"""";s:20:""redirect_link_window"";s:3:""yes"";}","N;","N;"
"30","Moalboal Beach Resort","Moalboal Beach Resort, Moalboal, Philippines",,,"BOUNCE","9.985714","123.38436100000001","Moalboal",,"Philippines","6032","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:52:""https://jboy.cagumbay.com/cebu-road-trip-down-south/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"31","Forest Camp","Valencia : Forest Camp, Taft Street, Valencia, Central Visayas, Philippines",,,"BOUNCE","9.287978","123.23097800000005","Valencia","Central Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:68:""https://jboy.cagumbay.com/xlr8-ventures-inc-goes-to-negros-oriental/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"32","Manila","Manila, NCR, Philippines",,,"BOUNCE","14.5995124","120.9842195","Manila","Metro Manila","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:69:""https://jboy.cagumbay.com/carpe-diem-going-up-north-with-ineng-day-3/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"33","Anda de Boracay","Anda de Boracay, Anda, Central Visayas, Philippines",,,"BOUNCE","9.742494","124.576056","Anda","Central Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:58:""https://jboy.cagumbay.com/country-living-guindulman-bohol/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"34","Kawasan Falls","Kawasan Falls, Badian, Central Visayas, Philippines",,,"BOUNCE","9.804304","123.38254299999994","Badian","Central Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:68:""https://jboy.cagumbay.com/kanla-ob-canyoneering-a-long-overdue-trip/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"35","Osmena Peak","Osmeña Peak",,,"BOUNCE","9.8224971","123.448333",,,,,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:64:""https://jboy.cagumbay.com/a-cold-and-foggy-night-at-osmena-peak/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"36","Pandanon Island","Pandanon Island",,,"BOUNCE","10.1791667","124.08361109999998",,,"Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:49:""https://jboy.cagumbay.com/island-hopping-in-cebu/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"37","Chocolate Hills","Chocolate Hills, Loay Interior Road, Carmen, Central Visayas, Philippines",,,"BOUNCE","9.833694","124.198036","Carmen","Central Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:46:""https://jboy.cagumbay.com/bohol-in-a-nutshell/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"38","Sagbayan Peak","Sagbayan Peak, Carmen-Sagbayan-Bacani Road, Sagbayan, Central Visayas, Philippines",,,"BOUNCE","9.927341","124.07057800000007","Sagbayan","Central Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:46:""https://jboy.cagumbay.com/bohol-in-a-nutshell/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"39","Loboc River Cruise","Loboc River Cruise, Loboc, Central Visayas, Philippines",,,"BOUNCE","9.634839","124.03064500000005","Loboc","Central Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:46:""https://jboy.cagumbay.com/bohol-in-a-nutshell/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"40","Loboc Man-Made Forest","Loboc Man-Made Forest, Loay Interior Road, Loboc, Central Visayas, Philippines",,,"BOUNCE","9.664232","124.07847400000003","Loboc","Central Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:46:""https://jboy.cagumbay.com/bohol-in-a-nutshell/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"41","Whale watching","Oslob Whale Shark Watching, Oslob, Central Visayas, Philippines",,,"BOUNCE","9.46374","123.38042300000006","Tan-awan Oslob",,"Philippines","6025","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:63:""https://jboy.cagumbay.com/whale-shark-encounter-tan-awan-oslob/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"42","Pescador Island","Pescador Island",,,"BOUNCE","9.923113100000002","123.34352939999997",,,"Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:64:""https://jboy.cagumbay.com/moalboal-dolphins-corals-and-sardines/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"43","Dumaguete City","Dumaguete City, Central Visayas, Philippines",,,"BOUNCE","9.3068402","123.30544669999995","Dumaguete","Central Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:45:""https://jboy.cagumbay.com/a-day-in-dumaguete/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"44","Malapascua Island","Malapascua Island, Daanbantayan, Central Visayas, Philippines",,,"BOUNCE","11.3358464","124.11563619999993",,,"Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:70:""https://jboy.cagumbay.com/malapascua-island-more-than-thresher-sharks/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"45","Camiguin Island","Camiguin Island, Camiguin, Northern Mindanao, Philippines",,,"BOUNCE","9.173216400000001","124.72987650000005",,,"Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:49:""https://jboy.cagumbay.com/come-again-to-camiguin/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"46","Manjuyod Sand Bar","Sand Bar, Negros Oriental, Central Visayas, Philippines",,,"BOUNCE","9.6198608","123.16748280000002",,"Central Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:68:""https://jboy.cagumbay.com/xlr8-ventures-inc-goes-to-negros-oriental/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"47","Pamilacan Island","Pamilacan Island, Baclayon, Central Visayas, Philippines",,,"BOUNCE","9.4912726","123.92203360000008","Baclayon",,"Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:46:""https://jboy.cagumbay.com/bohol-in-a-nutshell/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"48","Isola Di Francesco (Puntod Island)","Pontod Island",,,"BOUNCE","9.559671999999999","123.72086149999996",,,"Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:46:""https://jboy.cagumbay.com/bohol-in-a-nutshell/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"49","Campoquino Bay Beach Resort","Campoquino Bay Beach Resort, Philippines",,,"BOUNCE","9.7400091","122.39644199999998","Sipalay",,"Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:64:""https://jboy.cagumbay.com/sipalay-city-expecting-the-unexpected/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"50","Sipalay City","Sipalay City, Western Visayas, Philippines",,,"BOUNCE","9.719788699999999","122.49200880000001","Sipalay City","Western Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:64:""https://jboy.cagumbay.com/sipalay-city-expecting-the-unexpected/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"51","Bayawan City","Bayawan City, Central Visayas, Philippines",,,"BOUNCE","9.361826805795218","122.81031683300785","Bayawan City","Central Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:64:""https://jboy.cagumbay.com/sipalay-city-expecting-the-unexpected/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"52","Perth Beach Resort","Perth Beach Resort, Sipalay City, Western Visayas, Philippines",,,"BOUNCE","9.728808299999999","122.3945215","Sipalay City","Western Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:64:""https://jboy.cagumbay.com/sipalay-city-expecting-the-unexpected/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"53","Casaroro Falls","Casaroro Falls, Taft Street, Valencia, Central Visayas, Philippines",,,"BOUNCE","9.2785485","123.2052152","Valencia","Central Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:60:""https://jboy.cagumbay.com/chasing-waterfalls-casaroro-falls/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"54","Malabo Falls","Malabo Falls",,,"BOUNCE","9.314423009066237","123.22604493686526","Valencia","Central Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:69:""https://jboy.cagumbay.com/chasing-waterfalls-malabo-pulangbato-falls/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"55","Lake Balinsasayao","Lake Balinsasayao, Sibulan, Central Visayas, Philippines",,,"BOUNCE","9.353611100000002","123.17833330000008","Sibulan","Central Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:55:""https://jboy.cagumbay.com/twin-lakes-lake-balinsasayao/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"56","Talicud Island","Talicud Island, Island Garden City of Samal, Davao Region, Philippines",,,"BOUNCE","6.929308199999999","125.70246099999997","Island Garden City of Samal",,"Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:58:""https://jboy.cagumbay.com/gone-for-the-weekend-davao-city/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"57","Hagimit Falls","Hagimit Natures Resort (Hagimit Falls), Island Garden City of Samal, Davao Region, Philippines",,,"BOUNCE","7.066995799999999","125.72533120000003","Island Garden City of Samal","Davao Region","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:59:""https://jboy.cagumbay.com/chasing-waterfalls-hagimit-falls/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"58","Nalusuan Island Resort","Nalusuan Island Resort, Cordova, Central Visayas, Philippines",,,"BOUNCE","10.190821","124.00088849999997","Cordova","Central Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:67:""https://jboy.cagumbay.com/celebrating-christmas-in-nalusuan-island/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"59","Canigao Island","Canigao Island, Matalom, Eastern Visayas, Philippines",,,"BOUNCE","10.2485394","124.74990869999999","Matalom",,"Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:67:""https://jboy.cagumbay.com/canigao-island-hello-from-the-other-side/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"60","Hindang Caves and Wild Monkeys","Hindang, Eastern Visayas, Philippines",,,"BOUNCE","10.4305009","124.74417119999998","Hindang","Eastern Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:65:""https://jboy.cagumbay.com/the-caves-and-monkeys-of-hindang-leyte/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"61","Sambawan Island","Sambawan Island",,,"BOUNCE","11.7663058","124.26386630000002",,,"Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:58:""https://jboy.cagumbay.com/the-picturesque-sambawan-island/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"62","Dalutan Island","Dalutan Island, Almeria, Eastern Visayas, Philippines",,,"BOUNCE","11.6298335","124.34318059999998","Almeria",,"Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:73:""https://jboy.cagumbay.com/biliran-province-the-definition-of-hospitality/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"63","Recoletos Falls","Recoletos Falls Road, Almeria, Eastern Visayas, Philippines",,,"BOUNCE","11.6064161","124.40409799999998","Almeria","Eastern Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:61:""https://jboy.cagumbay.com/chasing-waterfalls-recoletos-falls/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"64","Ulan-ulan Falls","Recoletos Falls Road, Almeria, Eastern Visayas, Philippines",,,"BOUNCE","11.6064161","124.40409799999998","Almeria","Eastern Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:61:""https://jboy.cagumbay.com/chasing-waterfalls-ulan-ulan-falls/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"65","Monte Cueva Shrine","Monte Cueva, Maasin City, Eastern Visayas, Philippines",,,"BOUNCE","10.1433363","124.84127690000003","Maasin City","Eastern Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:67:""https://jboy.cagumbay.com/maasin-city-salt-city-of-the-philippines/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"66","Dulag Surf Camp","Dulag, Eastern Visayas, Philippines",,,"BOUNCE","10.9591507","125.00576950000004","Dulag","Eastern Visayas","Philippines",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:51:""https://jboy.cagumbay.com/surfs-up-dulag-surf-camp/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"67","Agas-Agas Bridge","Agas-Agas Bridge, Sogod, Eastern Visayas, Philippines",,,"BOUNCE","10.4964519","124.99797820000003","Sogod","Eastern Visayas","Philippines","6606","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:62:""https://jboy.cagumbay.com/road-trip-southern-leyte-and-beyond/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"68","Sabin Resort Hotel","Sabin Resort Hotel, Ormoc, Eastern Visayas, Philippines",,,"BOUNCE","10.9904859","124.62120290000007","Ormoc","Eastern Visayas","Philippines","6541","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:62:""https://jboy.cagumbay.com/road-trip-southern-leyte-and-beyond/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"69","Baybay City","Baybay City, Eastern Visayas, Philippines",,,"BOUNCE","10.6521412","124.85256260000006","Baybay City","Eastern Visayas","Philippines","6521","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:62:""https://jboy.cagumbay.com/road-trip-southern-leyte-and-beyond/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"70","Verbier","Verbier, Bagnes, Switzerland",,,"BOUNCE","46.09578299999999","7.228850999999963","Verbier","Wallis","Switzerland","1936","0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:71:""https://jboy.cagumbay.com/verbier-experiencing-snow-for-the-first-time/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
"71","Lausanne","Lausanne, Switzerland",,,"BOUNCE","46.5196535","6.632273400000031","Lausanne","Vaud","Switzerland",,"0",,"a:3:{s:7:""onclick"";s:11:""custom_link"";s:13:""redirect_link"";s:45:""https://jboy.cagumbay.com/sunset-in-lausanne/"";s:20:""redirect_link_window"";s:3:""yes"";}","a:0:{}","N;"
